id_leitura,id_sensor,data_hora,valor
1,1,2025-08-10 03:33:03,1.17
2,1,2025-08-09 19:53:03,7.53
3,1,2025-09-03 03:11:03,3.29
4,1,2025-08-29 05:53:03,2.28
5,1,2025-08-30 10:21:03,0.42
6,1,2025-08-31 17:14:03,0.42
7,1,2025-08-14 17:04:03,0.15
8,1,2025-08-10 03:14:03,5.03
9,1,2025-08-30 15:48:03,2.3
10,1,2025-08-11 04:37:03,3.08
11,1,2025-08-16 00:05:03,0.05
12,1,2025-08-10 15:57:03,8.76
13,1,2025-09-03 15:03:03,4.47
14,1,2025-08-10 15:20:03,0.6
15,1,2025-08-18 06:01:03,0.5
16,1,2025-08-25 22:08:03,0.51
17,1,2025-08-13 00:03:03,0.91
18,1,2025-09-02 11:21:03,1.86
19,1,2025-08-18 18:02:03,1.41
20,1,2025-09-02 21:27:03,0.86
21,1,2025-09-03 14:29:03,2.37
22,1,2025-08-09 08:31:03,0.38
23,1,2025-09-04 17:38:03,0.86
24,1,2025-08-11 06:39:03,1.14
25,1,2025-08-26 15:01:03,1.52
26,1,2025-09-06 11:08:03,3.84
27,1,2025-09-03 02:38:03,0.56
28,1,2025-09-02 06:29:03,1.81
29,1,2025-08-31 08:08:03,2.24
30,1,2025-08-21 22:40:03,0.12
31,1,2025-08-19 09:56:03,2.34
32,1,2025-08-16 20:13:03,0.47
33,1,2025-08-21 20:17:03,0.17
34,1,2025-08-18 09:49:03,7.43
35,1,2025-08-19 15:14:03,8.43
36,1,2025-08-25 13:25:03,4.13
37,1,2025-08-13 12:04:03,0.91
38,1,2025-09-05 22:10:03,0.26
39,1,2025-08-21 04:47:03,2.88
40,1,2025-08-28 08:31:03,1.45
41,1,2025-08-21 22:27:03,0.33
42,1,2025-08-10 20:21:03,1.71
43,1,2025-08-07 23:17:03,0.09
44,1,2025-08-28 09:41:03,6.0
45,1,2025-09-04 19:35:03,0.75
46,1,2025-09-02 04:03:03,2.72
47,1,2025-08-12 02:19:03,0.93
48,1,2025-08-10 21:08:03,1.84
49,1,2025-09-01 00:21:03,1.98
50,1,2025-08-17 05:56:03,0.51
51,1,2025-08-30 13:40:03,8.73
52,1,2025-08-19 14:47:03,3.73
53,1,2025-08-13 13:47:03,7.01
54,1,2025-08-23 10:19:03,5.63
55,1,2025-08-10 16:15:03,2.28
56,1,2025-08-18 15:56:03,6.37
57,1,2025-08-24 08:44:03,0.23
58,1,2025-08-20 12:23:03,0.55
59,1,2025-08-14 17:25:03,0.12
60,1,2025-08-27 11:43:03,0.98
61,1,2025-09-01 06:27:03,1.23
62,1,2025-08-21 07:32:03,0.79
63,1,2025-09-04 09:13:03,4.41
64,1,2025-09-06 07:25:03,1.1
65,1,2025-08-31 14:51:03,0.82
66,1,2025-08-07 21:39:03,1.96
67,1,2025-09-01 18:53:03,0.38
68,1,2025-08-21 04:07:03,4.05
69,1,2025-08-12 06:15:03,0.19
70,1,2025-08-13 15:47:03,10.84
71,1,2025-08-19 13:59:03,3.7
72,1,2025-08-12 19:11:03,0.55
73,1,2025-08-12 10:01:03,0.01
74,1,2025-09-01 17:23:03,4.22
75,1,2025-08-14 14:54:03,3.07
76,1,2025-08-19 22:35:03,3.26
77,1,2025-08-20 08:52:03,3.69
78,1,2025-09-04 01:45:03,0.19
79,1,2025-08-17 03:10:03,1.11
80,1,2025-08-23 03:38:03,0.31
81,1,2025-08-16 19:29:03,4.97
82,1,2025-09-05 09:52:03,2.44
83,1,2025-08-19 13:27:03,1.0
84,1,2025-08-30 13:09:03,0.16
85,1,2025-08-29 18:43:03,0.93
86,1,2025-08-18 23:24:03,0.98
87,1,2025-08-09 20:36:03,3.27
88,1,2025-08-11 17:55:03,2.54
89,1,2025-09-05 09:55:03,5.46
90,1,2025-08-26 19:46:03,1.6
91,1,2025-08-20 03:19:03,0.32
92,1,2025-08-09 13:16:03,3.12
93,1,2025-08-07 16:59:03,3.58
94,1,2025-08-22 17:26:03,2.06
95,1,2025-08-13 12:00:03,3.68
96,1,2025-09-05 13:00:03,1.7
97,1,2025-08-19 11:14:03,1.85
98,1,2025-08-14 21:36:03,1.39
99,1,2025-08-27 15:43:03,0.06
100,1,2025-09-01 15:41:03,0.29
101,1,2025-08-27 00:15:03,0.08
102,1,2025-09-02 01:46:03,2.53
103,1,2025-08-07 23:40:03,0.94
104,1,2025-08-12 15:18:03,1.78
105,1,2025-08-10 23:18:03,5.95
106,1,2025-08-14 07:55:03,0.72
107,1,2025-09-01 09:02:03,1.32
108,1,2025-08-09 04:28:03,3.52
109,1,2025-08-24 08:23:03,0.65
110,1,2025-09-03 01:22:03,0.2
111,1,2025-09-01 16:37:03,0.86
112,1,2025-08-14 06:52:03,0.44
113,1,2025-08-27 02:33:03,6.64
114,1,2025-08-13 08:19:03,4.13
115,1,2025-08-09 10:48:03,2.51
116,1,2025-08-21 13:49:03,5.13
117,1,2025-08-24 03:24:03,4.07
118,1,2025-08-09 08:41:03,0.52
119,1,2025-08-23 19:56:03,5.58
120,1,2025-08-17 02:34:03,1.94
121,1,2025-08-18 21:40:03,4.12
